253,1970-05-09,Sacramento,Police Building,1,183
254,1970-05-10,Berlin,Business,0,499
255,1970-05-10,Washington,NGO,0,183
256,1970-05-12,Geneva,Airports & Aircraft,0,199
257,1970-05-12,Houston,Telecommunication,0,183
258,1970-05-12,Detroit,Government Building,0,183
259,1970-05-13,Des Moines,Police Building,2,183
260,1970-05-13,Salt Lake City,Military Personnel,0,183
261,1970-05-13,Oxford,Private Citizens,0,183
262,1970-05-13,Miami,Business,0,183
263,1970-05-14,Melrose,Military Personnel,0,183
264,1970-05-14,New York City,Educational Institution,0,183
265,1970-05-14,Long Beach,Educational Institution,0,183
266,1970-05-14,Oxford,Business,0,183
268,1970-05-15,Montevideo,Military Personnel,0,183
269,1970-05-15,West Berlin,Business,0,499
270,1970-05-15,Seattle,Private Citizens,1,183
271,1970-05-16,New York City,Military Personnel,0,183
272,1970-05-19,Afton,Government Building,0,183
273,1970-05-20,Quincy,Utilities,0,183
274,1970-05-20,Carlisle,Government Building,0,183
275,1970-05-20,Miami,Educational Institution,0,183
276,1970-05-21,Trona,Private Citizens,0,183
277,1970-05-22,New York City,Terrorists/Non-State Militia,3,155
278,1970-05-22,St. Paul,Police Building,1,183
279,1970-05-22,Ames,Police Building,10,183
280,1970-05-25,Oxford,Business,0,183
281,1970-05-26,Oxford,Business,0,183
282,1970-05-26,Oxford,Business,0,183
283,1970-05-27,Los Angeles,Government Building,0,183
284,1970-05-27,Boston,Religious Figures/Institutions,0,183
285,1970-05-27,Boston,Religious Figures/Institutions,0,183
286,1970-05-28,Sacramento,Police Building,1,183
287,1970-05-28,Phoenix,Government Building,0,183
288,1970-05-28,New York City,Educational Institution,0,183
289,1970-05-28,Fullerton,Educational Institution,0,183
290,1970-05-29,Buenos Aires,Government Building,0,11
291,1970-05-29,Montevideo,Military Personnel,0,183
292,1970-05-29,Oakland,Private Citizens,0,183
293,1970-05-29,San Diego,Military Personnel,0,183
294,1970-05-30,New York City,Business,0,183
295,1970-06-01,Unknown,Government Building,0,65
296,1970-06-02,Manila,Government Building,0,160
297,1970-06-02,Rome,Airports & Aircraft,0,65
298,1970-06-02,Baton Rouge,Utilities,0,183
299,1970-06-02,Joliet,Private Citizens,1,183
